[ 2016-09-27T00:00:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | NOTIC: [8] Undefined index: user_login 31de1df7d7aeb801ab573cd34384f42d.php 第 62 行.
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run ParseTemplate Behavior [ RunTime:0.004844s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004872s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Tag[ view_filter ] --START--
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run ContentReplace Behavior [ RunTime:0.000149s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run TokenBuild Behavior [ RunTime:0.000123s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run ShowRuntime Behavior [ RunTime:0.000070s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000478s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Tag[ view_end ] --START--
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000047s ]
[ 2016-09-27T02:49:51+08:00 ] /index.php/Knowledge/show?id=795 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000077s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ route_check ] --START--
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run CheckRoute Behavior [ RunTime:0.000212s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000330s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ app_begin ] --START--
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000054s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.011242s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | SQL: SELECT march_user.user_name,march_article.article_title,march_article.article_id,march_article.article_time,march_article.article_tags,march_article.article_num,march_sort.sort_name,march_user_info.avator,march_user_info.blog,march_article.article_content FROM `march_article` LEFT JOIN march_user ON march_user.user_phone = march_article.user_phone LEFT JOIN march_user_info ON march_user_info.user_phone = march_article.user_phone LEFT JOIN march_sort ON march_article.article_sort=march_sort.idmarch_sort WHERE march_article.article_id=96  [ RunTime:0.032640s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | SQL: update march_article set article_num = article_num+1 where article_id ='96' [ RunTime:0.022373s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ view_template ] --START--
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run LocationTemplate Behavior [ RunTime:0.000121s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000166s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ view_parse ] --START--
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | NOTIC: [8] Undefined index: user_login 31de1df7d7aeb801ab573cd34384f42d.php 第 62 行.
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run ParseTemplate Behavior [ RunTime:0.004331s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004370s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Tag[ view_filter ] --START--
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run ContentReplace Behavior [ RunTime:0.000197s ]
[ 2016-09-27T02:49:52+08:00 ] /index.php/Knowledge/show?id=96 | INFO: Run TokenBuild Behavior [ RunTime:0.000165s ]
